time (s)	coil I (A)	last det (V)	int current (uC)
9855.032804	1.243520	0.180770	569.532410
9855.033713	0.679969	0.180770	1187.624756
9855.034606	0.093904	0.180770	1271.480835
9855.035571	0.091124	0.180770	1359.415771
9855.036483	0.091095	0.180770	1442.494385
9855.037380	0.091150	0.180770	1524.255859
9855.038316	0.091219	0.180770	1609.637329
9855.039206	0.091223	0.180770	1690.825928
9855.040108	0.091165	0.180770	1773.056396
9855.040995	0.091198	0.180770	1853.948608
9855.041929	0.091260	0.180770	1939.185181
9855.042832	0.091165	0.180770	2021.506714
9856.085469	1.226162	0.203570	543.189880
9856.086403	0.659194	0.203570	1158.877319
9856.087303	0.093501	0.203570	1243.028198
9856.088235	0.091282	0.203570	1328.102783
9856.089139	0.091227	0.203570	1410.571777
9856.090045	0.091176	0.203570	1493.176758
9856.090931	0.091227	0.203570	1574.003662
9856.091882	0.091285	0.203570	1660.816040
9856.092789	0.091205	0.203570	1743.538818
9856.093682	0.091223	0.203570	1825.001099
9856.094603	0.091205	0.203570	1909.000732
9856.095511	0.091322	0.203570	1991.921143
9857.157595	1.224587	0.170417	549.839783
9857.158551	0.617919	0.170417	1140.570068
9857.159461	0.092959	0.170417	1225.162720
9857.160353	0.091113	0.170417	1306.435791
9857.161288	0.091238	0.170417	1391.743164
9857.162187	0.091289	0.170417	1473.812012
9857.163079	0.091135	0.170417	1555.104614
9857.163967	0.091260	0.170417	1636.143311
9857.164897	0.091282	0.170417	1721.035278
9857.165805	0.091198	0.170417	1803.842651
9857.166708	0.091212	0.170417	1886.207275
9857.167596	0.091157	0.170417	1967.154907
9858.191880	1.283317	0.187960	642.941650
9858.192806	0.588084	0.187960	1187.506958
9858.193708	0.092754	0.187960	1271.171021
9858.194593	0.091241	0.187960	1351.919678
9858.195529	0.091293	0.187960	1437.369629
9858.196431	0.091219	0.187960	1519.649658
9858.197322	0.091285	0.187960	1600.984985
9858.198260	0.091198	0.187960	1686.528198
9858.199170	0.091212	0.187960	1769.531250
9858.200068	0.091205	0.187960	1851.433228
9858.200959	0.091205	0.187960	1932.696777
9858.201895	0.091256	0.187960	2018.112549
9859.275261	1.228920	0.185471	599.712769
9859.276196	0.587223	0.185471	1148.766113
9859.277099	0.092556	0.185471	1232.344360
9859.277987	0.091271	0.185471	1313.392822
9859.278924	0.091370	0.185471	1399.006104
9859.279827	0.091212	0.185471	1481.370728
9859.280750	0.091212	0.185471	1565.559570
9859.281639	0.091223	0.185471	1646.656982
9859.282579	0.091300	0.185471	1732.479004
9859.283473	0.091190	0.185471	1814.003052
9859.284356	0.091252	0.185471	1894.578979
9859.285293	0.091344	0.185471	1980.168335
9860.301308	1.269924	0.191908	612.103516
9860.302234	0.601919	0.191908	1169.480469
9860.303136	0.092908	0.191908	1253.283203
9860.304022	0.091165	0.191908	1334.054932
9860.304962	0.091179	0.191908	1419.763428
9860.305866	0.091190	0.191908	1502.199341
9860.306759	0.091223	0.191908	1583.661621
9860.307693	0.091296	0.191908	1668.932495
9860.308600	0.091274	0.191908	1751.718384
9860.309498	0.091143	0.191908	1833.564453
9860.310391	0.091208	0.191908	1915.013672
9860.311318	0.091245	0.191908	1999.597900
9861.388767	1.227880	0.189632	551.317932
9861.389671	0.700521	0.189632	1184.589111
9861.390556	0.094362	0.189632	1268.099121
9861.391504	0.091179	0.189632	1354.536987
9861.392403	0.091190	0.189632	1436.516968
9861.393299	0.091187	0.189632	1518.220093
9861.394234	0.091168	0.189632	1603.462402
9861.395139	0.091205	0.189632	1686.002808
9861.396037	0.091179	0.189632	1767.881714
9861.396926	0.091201	0.189632	1848.959595
9861.397875	0.091201	0.189632	1935.509521
9861.398785	0.091176	0.189632	2018.479248
9862.421974	1.219303	0.185588	543.809143
9862.422875	0.713456	0.185588	1186.632812
9862.423763	0.094636	0.185588	1270.669800
9862.424716	0.091124	0.185588	1357.511230
9862.425636	0.091165	0.185588	1441.382568
9862.426536	0.091179	0.185588	1523.443848
9862.427477	0.091176	0.185588	1609.239990
9862.428380	0.091150	0.185588	1691.548340
9862.429280	0.091077	0.185588	1773.517334
9862.430166	0.091194	0.185588	1854.315063
9862.431120	0.091241	0.185588	1941.359375
9862.432019	0.091227	0.185588	2023.372314
9863.492050	1.214703	0.195082	542.972412
9863.492948	0.720663	0.195082	1190.127686
9863.493841	0.094581	0.195082	1274.588745
9863.494797	0.091208	0.195082	1361.784058
9863.495703	0.091194	0.195082	1444.405640
9863.496599	0.091296	0.195082	1526.207153
9863.497484	0.091146	0.195082	1606.871582
9863.498416	0.091219	0.195082	1691.888184
9863.499315	0.091110	0.195082	1773.795776
9863.500203	0.091157	0.195082	1854.743408
9863.501134	0.091150	0.195082	1939.604004
9863.502044	0.091157	0.195082	2022.557129
9864.542670	1.204098	0.180915	529.803040
9864.543566	0.713979	0.180915	1169.528564
9864.544533	0.092911	0.180915	1259.373901
9864.545440	0.091058	0.180915	1341.963867
9864.546335	0.091161	0.180915	1423.552856
9864.547266	0.091256	0.180915	1508.512329
9864.548170	0.091223	0.180915	1590.978027
9864.549064	0.091139	0.180915	1672.456177
9864.549949	0.091135	0.180915	1753.110840
9864.550887	0.091212	0.180915	1838.667847
9864.551784	0.091121	0.180915	1920.403076
9864.552690	0.091150	0.180915	2002.984863
9865.600518	1.238804	0.200307	616.924255
9865.601436	0.594558	0.200307	1162.728638
9865.602333	0.092996	0.200307	1246.145752
9865.603218	0.091208	0.200307	1326.865234
9865.604154	0.091172	0.200307	1412.202148
9865.605054	0.091256	0.200307	1494.332642
9865.605960	0.091161	0.200307	1576.924438
9865.606844	0.091289	0.200307	1657.624023
9865.607785	0.091205	0.200307	1743.447754
9865.608695	0.091146	0.200307	1826.390869
