time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
8179.296556	13.453159	8.562712	1.571133	69
8180.363608	14.459927	8.543489	1.692508	70
8181.411135	12.720375	8.545530	1.488541	71
8182.483414	12.907515	8.574551	1.505329	72
8183.531247	13.913917	8.563640	1.624767	73
8184.597659	14.290501	8.535646	1.674214	74
8185.649523	11.164165	8.567435	1.303093	75
8186.714784	14.049922	8.561300	1.641097	76
8187.768759	13.996273	8.570038	1.633164	77
8188.827948	13.885715	8.554093	1.623283	78
8189.887128	11.036214	8.562113	1.288959	79
8190.945707	14.785017	8.538099	1.731652	80
8192.004743	13.405903	8.563686	1.565436	81
8193.072539	14.069136	8.581428	1.639487	82
8194.122503	11.650283	8.556994	1.361493	83
8195.179049	15.321617	8.555559	1.790838	84
8196.238614	12.809807	8.552611	1.497766	85
8197.294966	12.805408	8.559930	1.495971	86
8198.357428	12.350432	8.576385	1.440051	87
8199.411877	15.072557	8.538304	1.765287	88
8200.473762	12.015846	8.567445	1.402501	89
8201.529488	12.785622	8.545291	1.496218	90
8202.591133	12.739381	8.558778	1.488458	91
8203.646864	14.561454	8.528965	1.707294	92
8204.707451	11.527241	8.555064	1.347417	93
8205.762924	13.313590	8.569283	1.553641	94
8206.823775	12.983965	8.567273	1.515531	95
8207.880541	13.839370	8.567345	1.615363	96
8208.939481	11.273767	8.539161	1.320243	97
8209.997527	13.543703	8.567519	1.580820	98
8211.056652	12.717216	8.565407	1.484718	99
8212.114485	13.543730	8.546541	1.584703	100
8213.172767	11.192774	8.551224	1.308909	101
8214.233535	13.875068	8.553477	1.622155	102
8215.286537	12.899976	8.569738	1.505294	103
8216.350694	12.560255	8.548804	1.469241	104
8217.403669	11.630581	8.526047	1.364124	105
8218.467674	13.895875	8.559628	1.623421	106
8219.517224	12.502077	8.564342	1.459783	107
8220.586810	12.324946	8.555994	1.440505	108
8221.634969	12.065661	8.564804	1.408749	109
8222.703130	13.376993	8.533373	1.567609	110
8223.748974	12.353580	8.559374	1.443281	111
8224.821744	12.455617	8.567537	1.453815	112
8225.865416	12.625790	8.538462	1.478696	113
8226.937763	12.605371	8.561988	1.472248	114
8227.991931	12.892011	8.568151	1.504643	115
8229.056519	12.387940	8.538604	1.450816	116
8230.096505	12.504387	8.544103	1.463511	117
8231.173247	12.298338	8.543835	1.439440	118
8232.213478	12.244301	8.530523	1.435352	119
8233.290144	12.421025	8.563658	1.450435	120
8234.327818	12.591558	8.564614	1.470184	121
8235.406531	12.113611	8.553717	1.416181	122
8236.444459	12.709839	8.539000	1.488446	123
8237.521908	11.964148	8.531903	1.402284	124
8238.560134	12.541623	8.563750	1.464501	125
8239.639379	11.979214	8.564516	1.398703	126
8240.678599	12.353325	8.548586	1.445072	127
8241.754614	11.934776	8.545355	1.396639	128
8242.793318	12.344210	8.555296	1.442873	129
8243.872146	12.119229	8.563415	1.415233	130
8244.910544	12.287689	8.539116	1.438989	131
8245.986981	11.917372	8.559801	1.392249	132
8247.026638	12.211631	8.532825	1.431136	133
8248.105225	11.733333	8.561955	1.370403	134
8249.143865	12.015546	8.556698	1.404227	135
8250.220077	11.763280	8.538734	1.377637	136
8251.259347	12.090968	8.566504	1.411424	137
8252.337284	11.810071	8.546768	1.381817	138
8253.375864	11.752725	8.557731	1.373346	139
8254.452825	11.854475	8.562445	1.384473	140
8255.492198	11.920087	8.554890	1.393365	141
8256.569366	11.586675	8.558989	1.353744	142
8257.607565	11.795944	8.548996	1.379805	143
8258.685215	11.679144	8.568151	1.363088	144
8259.723458	12.003604	8.561791	1.401997	145
8260.800309	11.817288	8.536549	1.384317	146
8261.839549	11.834884	8.540127	1.385797	147
8262.916729	11.554200	8.546990	1.351844	148
8263.956849	11.581410	8.545680	1.355236	149
8265.031503	11.811883	8.549038	1.381662	150
8266.072357	11.562636	8.526343	1.356107	151
8267.148105	11.532521	8.564070	1.346617	152
8268.201358	12.089587	8.551907	1.413672	153
8269.261695	12.713172	8.552574	1.486473	154
8270.307716	11.248804	8.555793	1.314759	155
8271.378145	11.552347	8.553246	1.350639	156
8272.424304	11.323408	8.564784	1.322089	157
8273.492032	11.835439	8.568146	1.381330	158
8274.541943	11.103398	8.544806	1.299433	159
8275.607456	11.809901	8.529287	1.384629	160
8276.657373	11.283381	8.507855	1.326231	161
8277.733729	12.463633	8.571159	1.454136	162
8278.774490	10.767226	8.550780	1.259210	163
8279.836875	12.165253	8.551305	1.422619	164
8280.890594	11.089357	8.531593	1.299799	165
8281.953744	11.459987	8.554314	1.339673	166
8283.009183	10.511371	8.545767	1.230009	167
8284.068061	11.847157	8.550046	1.385625	168
8285.125201	10.660487	8.540627	1.248209	169
8286.184768	11.106068	8.539171	1.300603	170
8287.240288	10.799492	8.536816	1.265049	171
8288.298547	11.770388	8.565664	1.374136	172
8289.357756	10.447236	8.544563	1.222677	173
8290.414590	11.401986	8.565112	1.331213	174
8291.472883	10.751449	8.554165	1.256867	175
8292.530668	11.519602	8.571811	1.343894	176
8293.588932	10.445862	8.548218	1.221993	177
8294.646872	11.153747	8.538037	1.306360	178
8295.705854	10.690034	8.543149	1.251299	179
8296.762009	11.367312	8.548656	1.329719	180
8297.822186	10.178306	8.557799	1.189360	181
8298.877334	11.552251	8.569611	1.348049	182
8299.936625	10.544475	8.546780	1.233737	183
8300.993311	11.216467	8.528207	1.315220	184
8302.051510	10.382994	8.530716	1.217130	185
8303.109548	11.306251	8.564438	1.320139	186
8304.167791	10.480717	8.557821	1.224694	187
8305.225805	11.062148	8.533439	1.296329	188
8306.282209	10.388341	8.561784	1.213338	189
8307.342549	11.307084	8.561141	1.320745	190
8308.396419	10.364502	8.577928	1.208276	191
8309.458262	10.822549	8.534206	1.268138	192
8310.512998	10.184427	8.553182	1.190718	193
8311.575054	10.961009	8.536113	1.284075	194
8312.626951	10.315416	8.561139	1.204912	195
8313.691868	10.862694	8.551258	1.270304	196
8314.742177	10.295763	8.567227	1.201762	197
8315.806982	11.015908	8.528194	1.291705	198
8316.856961	10.062315	8.545679	1.177474	199
8317.924534	10.770432	8.535400	1.261854	200
8318.971383	10.318893	8.569018	1.204210	201
8320.041566	10.724207	8.541592	1.255528	202
8321.086895	10.081057	8.544721	1.179799	203
8322.156863	10.838456	8.563272	1.265691	204
8323.212733	10.937582	8.523638	1.283206	205
8324.274071	10.634353	8.544491	1.244586	206
8325.317904	10.137593	8.555876	1.184869	207
8326.389360	10.519790	8.537594	1.232173	208
8327.432100	10.348545	8.552853	1.209952	209
8328.505318	10.481999	8.555731	1.225144	210
8329.548042	10.105629	8.554773	1.181286	211
8330.621707	10.409590	8.554377	1.216873	212
8331.663601	10.336607	8.562151	1.207244	213
8332.737579	10.243265	8.557805	1.196950	214
8333.779255	9.989441	8.539648	1.169772	215
8334.852894	10.215859	8.573635	1.191544	216
8335.894406	10.281312	8.513633	1.207629	217
8336.968353	10.231010	8.543048	1.197583	218
8338.011333	9.933525	8.560821	1.160347	219
8339.084225	10.244059	8.513621	1.203255	220
8340.125385	10.066614	8.540637	1.178673	221
8341.200744	10.089990	8.560896	1.178614	222
8342.241575	9.961410	8.537801	1.166742	223
8343.316495	9.971985	8.557674	1.165268	224
8344.357398	10.059155	8.538360	1.178113	225
8345.431103	10.059201	8.542916	1.177490	226
8346.471941	10.133958	8.546904	1.185688	227
8347.557293	10.905864	8.568396	1.272801	228
8348.588313	9.819273	8.513406	1.153390	229
8349.661775	10.234918	8.557616	1.196001	230
8350.704057	9.789783	8.515986	1.149577	231
8351.777122	10.143703	8.555538	1.185630	232
8352.818757	9.878327	8.556209	1.154522	233
8353.892590	9.989260	8.560282	1.166931	234
8354.934594	9.864953	8.563650	1.151957	235
8356.019060	10.802964	8.562061	1.261725	236
8357.050521	9.972428	8.536409	1.168223	237
8358.123154	10.149974	8.551991	1.186855	238
8359.166754	9.569572	8.542719	1.120202	239
8360.239326	9.986874	8.544900	1.168753	240
8361.282307	9.390409	8.503069	1.104355	241
8362.352893	10.269534	8.531111	1.203775	242
8363.398400	9.396065	8.556019	1.098182	243
8364.467261	10.235276	8.562389	1.195376	244
8365.513535	9.646441	8.559010	1.127051	245
8366.582005	10.149990	8.535088	1.189208	246
8367.630608	9.288859	8.562278	1.084858	247
8368.697687	10.130279	8.526481	1.188096	248
8369.746833	9.165930	8.554107	1.071524	249
8370.811874	10.388772	8.536515	1.216981	250
8371.874176	10.062615	8.567389	1.174525	251
8372.938112	10.635533	8.547658	1.244263	252
8373.978982	9.457483	8.567162	1.103923	253
8375.042084	9.931547	8.538914	1.163093	254
8376.095310	9.372590	8.546530	1.096655	255
8377.157657	9.791275	8.494289	1.152689	0
8378.211158	9.339587	8.507791	1.097769	1
8379.271906	9.819302	8.547146	1.148840	2
8380.326406	9.327870	8.531909	1.093292	3
8381.386597	9.882583	8.548469	1.156065	4
8382.443512	9.138847	8.533376	1.070953	5
8383.501383	9.865130	8.535357	1.155796	6
8384.570273	9.891270	8.562121	1.155236	7
8385.615996	10.054393	8.527165	1.179101	8
8386.674546	9.171337	8.541357	1.073756	9
8387.732467	9.610943	8.560455	1.122714	10
8388.789538	9.027929	8.549010	1.056020	11
8389.848620	9.648162	8.568235	1.126038	12
8390.905063	9.123313	8.553050	1.066674	13
8391.962603	9.939452	8.540954	1.163740	14
8393.021153	9.000294	8.536951	1.054275	15
8394.077754	9.889707	8.559020	1.155472	16
8395.135588	8.992267	8.533079	1.053813	17
8396.194170	9.759356	8.546324	1.141936	18
8397.251637	8.960650	8.560710	1.046718	19
8398.309257	9.676068	8.545987	1.132235	20
8399.365330	9.089371	8.540730	1.064238	21
8400.425117	9.593143	8.547730	1.122303	22
8401.480325	9.187710	8.562340	1.073037	23
8402.540376	9.729300	8.554290	1.137359	24
8403.595698	9.067245	8.544010	1.061240	25
8404.656772	9.560564	8.527694	1.121120	26
8405.711261	8.876397	8.549913	1.038186	27
8406.772981	9.472433	8.539252	1.109281	28
8407.824544	8.927238	8.533677	1.046118	29
8408.888789	9.381495	8.566512	1.095136	30
8409.940357	8.927723	8.551636	1.043978	31
8411.004199	9.382761	8.539223	1.098784	32
8412.054950	8.993870	8.539001	1.053270	33
8413.120107	9.404326	8.536583	1.101650	34
8414.169330	8.758744	8.554727	1.023849	35
8415.236653	9.318637	8.558394	1.088830	36
8416.284118	8.798908	8.518825	1.032878	37
8417.352471	9.292567	8.551645	1.086641	38
8418.398465	8.836310	8.545015	1.034090	39
8419.467513	9.321142	8.527059	1.093125	40
8420.513050	9.056863	8.545236	1.059873	41
8421.583051	9.544712	8.560518	1.114969	42
8422.628891	8.814972	8.535886	1.032696	43
8423.700339	9.059105	8.537565	1.061088	44
