time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
13961.987339	229.863815	-0.588643	-0.245609	83
13964.136356	229.417786	-0.590015	-0.239304	85
13966.238083	232.312500	-0.609971	-0.232298	87
13968.395836	232.250900	-0.623193	-0.226523	89
13970.492516	234.838867	-0.627721	-0.221481	91
13972.639948	235.170319	-0.648418	-0.215574	93
13974.760173	234.690063	-0.652854	-0.211580	95
13976.894240	235.065018	-0.667495	-0.207176	97
13979.020892	234.597549	-0.675934	-0.203832	99
13981.150642	234.552536	-0.688766	-0.200910	101
13983.283287	234.591476	-0.695202	-0.198637	103
13985.403489	234.983704	-0.707859	-0.195872	105
13987.529817	235.457748	-0.716086	-0.192769	107
13989.645785	235.966248	-0.724848	-0.189943	109
13991.771582	236.472229	-0.731614	-0.186521	111
13993.892803	236.969406	-0.740780	-0.184131	113
13996.014888	237.158478	-0.747105	-0.181436	115
13998.136362	237.432709	-0.754664	-0.178690	117
14000.254292	237.673660	-0.760951	-0.176831	119
14002.375678	238.016998	-0.766810	-0.174825	121
14004.495191	238.209595	-0.775500	-0.172848	123
14006.617049	238.284927	-0.780531	-0.171001	125
14008.738934	238.513916	-0.787661	-0.169395	127
14010.855785	238.567673	-0.793703	-0.167608	129
14012.975413	238.898224	-0.799213	-0.165515	131
14015.091356	239.283005	-0.805266	-0.163603	133
14017.210194	239.602676	-0.811222	-0.161631	135
14019.326223	240.028549	-0.815717	-0.159893	137
14021.443484	240.445084	-0.820423	-0.158335	139
14023.559615	240.825226	-0.824453	-0.156986	141
14025.675902	241.066528	-0.829935	-0.155665	143
14027.793867	241.263107	-0.832625	-0.154357	145
14029.911822	241.416565	-0.837711	-0.153013	147
14032.029273	241.681763	-0.838332	-0.151843	149
14034.146994	241.854858	-0.843250	-0.150695	151
14036.265860	241.730469	-0.845190	-0.149386	153
14038.385177	241.575577	-0.849708	-0.148198	155
14040.504529	241.541382	-0.851320	-0.147188	157
14042.624114	241.398254	-0.856080	-0.146299	159
14044.744308	241.166611	-0.859670	-0.145438	161
14046.862453	240.875427	-0.863205	-0.144969	163
14048.979834	240.910278	-0.865783	-0.144151	165
14051.099082	241.051041	-0.868760	-0.143471	167
14053.217233	241.025452	-0.873286	-0.142745	169
14055.333902	241.045349	-0.873662	-0.142368	171
14057.450475	241.250977	-0.878947	-0.141590	173
14059.567453	241.490097	-0.880214	-0.140571	175
14061.684290	241.713867	-0.882945	-0.140089	177
14063.801191	241.763702	-0.886285	-0.139610	179
14065.918431	241.913284	-0.887467	-0.138741	181
14068.035730	241.992081	-0.892533	-0.137657	183
14070.152575	241.934525	-0.892304	-0.137125	185
14072.268462	242.116333	-0.895800	-0.135868	187
14074.384745	242.256683	-0.896773	-0.134988	189
14076.502423	242.481308	-0.900393	-0.133769	191
14078.617835	242.587143	-0.902102	-0.132961	193
14080.732454	242.785309	-0.905521	-0.132648	195
14082.847717	243.162079	-0.905354	-0.131688	197
14084.962908	243.342484	-0.910031	-0.130743	199
14087.076863	243.540329	-0.909835	-0.130344	201
14089.191582	243.820892	-0.913850	-0.129538	203
14091.307425	244.021164	-0.916959	-0.129068	205
14093.422937	244.186737	-0.916232	-0.128543	207
14095.539392	244.397934	-0.918932	-0.127831	209
14097.655787	244.531067	-0.921257	-0.127243	211
14099.772111	244.500046	-0.923573	-0.126468	213
14101.889089	244.344513	-0.923703	-0.125923	215
14104.006193	244.212708	-0.922761	-0.125379	217
14106.123961	244.179916	-0.925384	-0.124863	219
14108.241910	243.985626	-0.927656	-0.124440	221
14110.359956	243.786758	-0.927160	-0.123916	223
14112.476710	243.667419	-0.929310	-0.123523	225
14114.594656	243.657730	-0.929485	-0.123374	227
14116.711345	243.697922	-0.931700	-0.123040	229
14118.828152	243.638107	-0.934702	-0.122608	231
14120.944247	243.641434	-0.933029	-0.122195	233
14123.059859	243.858917	-0.935318	-0.121614	235
14125.176326	243.902451	-0.938022	-0.121258	237
14127.292993	244.012009	-0.937127	-0.121178	239
14129.408141	244.176926	-0.941729	-0.120980	241
14131.524064	244.267761	-0.941578	-0.120619	243
14133.640450	244.368057	-0.945409	-0.119969	245
14135.756670	64.356911	0.946022	0.119751	247
14137.872194	244.389664	-0.944966	-0.119018	249
14139.987168	244.653198	-0.946889	-0.118653	251
14142.102429	244.755981	-0.951164	-0.118017	253
14144.217027	64.892563	0.950459	0.117629	255
14146.332069	65.145660	0.951410	0.117011	1
14148.446341	65.389008	0.955240	0.116960	3
14150.560142	65.520721	0.958581	0.116431	5
14152.675242	65.669701	0.957094	0.115737	7
14154.789837	65.914192	0.957838	0.115117	9
14156.904273	66.075821	0.959892	0.114686	11
14159.020199	66.209938	0.959377	0.114559	13
14161.135873	66.293411	0.957471	0.114259	15
14163.251769	66.296669	0.960950	0.114049	17
14165.367789	66.136856	0.960504	0.113967	19
14167.484540	66.153610	0.959501	0.113693	21
14169.602255	66.112953	0.961137	0.113450	23
14171.719225	65.969856	0.964774	0.112915	25
14173.835830	65.786583	0.965121	0.113026	27
14175.952834	245.675034	-0.963575	-0.113113	29
14178.069432	245.637146	-0.964727	-0.113148	31
14180.185812	245.642456	-0.966018	-0.112504	33
14182.301933	245.634216	-0.965887	-0.112324	35
14184.418568	241.825470	-0.927929	-0.500000	37
14186.534567	245.748352	-0.966900	-0.111637	39
14188.648908	245.834366	-0.968442	-0.111885	41
14190.765623	245.858200	-0.967493	-0.111454	43
14192.881614	65.925148	0.966867	0.111352	45
14194.997449	66.038132	0.968719	0.111107	47
14197.111587	246.160294	-0.970497	-0.111022	49
14199.227788	246.303299	-0.973582	-0.110373	51
14201.342936	66.301697	0.974244	0.110362	53
14203.458336	66.412895	0.972692	0.109848	55
14205.573714	66.577515	0.975858	0.109269	57
14207.687607	66.676140	0.978488	0.109023	59
14209.801881	66.859535	0.977481	0.108612	61
14211.916537	67.113205	0.979217	0.107971	63
14214.031066	67.259422	0.982026	0.107755	65
14216.144979	67.366539	0.981266	0.107469	67
14218.259755	67.638481	0.982064	0.107033	69
14220.374816	67.667915	0.985148	0.106893	71
14222.489482	67.708969	0.981837	0.106377	73
14224.605771	67.838753	0.984674	0.106017	75
14226.720828	67.816071	0.984640	0.105873	77
14228.836918	67.840057	0.985058	0.105496	79
14230.954202	67.719048	0.986215	0.105254	81
14233.070344	67.642967	0.986382	0.105057	83
14235.186392	247.499603	-0.987563	-0.105109	85
14237.303193	67.446587	0.985331	0.104859	87
14239.420097	67.456932	0.987281	0.104771	89
14241.536512	247.354187	-0.989806	-0.104587	91
14243.652670	247.339188	-0.990180	-0.104327	93
14245.768597	247.324966	-0.991181	-0.104161	95
14247.884585	247.276566	-0.991420	-0.104150	97
14250.000270	247.276337	-0.989059	-0.103873	99
14252.115816	67.376320	0.988365	0.103490	101
14254.230828	247.532257	-0.989625	-0.103276	103
14256.346423	247.584854	-0.992933	-0.102986	105
14258.462516	67.547775	0.991492	0.102779	107
14260.577430	67.624756	0.990885	0.102598	109
14262.692205	67.765099	0.990782	0.102310	111
14264.807817	67.907227	0.991967	0.101898	113
14266.922890	68.028976	0.993860	0.101724	115
14269.037317	68.061340	0.997117	0.101605	117
14271.151442	68.162750	0.995156	0.101148	119
14273.265797	68.385773	0.993307	0.101167	121
14275.380621	68.605713	0.995950	0.100843	123
14277.495306	248.658615	-0.997952	-0.100579	125
14279.609031	68.714851	0.996886	0.100360	127
14281.724249	68.915825	0.995847	0.100268	129
14283.839088	69.053932	0.999906	0.099651	131
14285.954102	69.027191	0.999941	0.099457	133
14288.069112	69.023163	0.998395	0.099025	135
14290.184750	69.090469	0.997860	0.099001	137
14292.301289	69.077835	0.997846	0.098782	139
14294.417760	69.049088	0.997721	0.098447	141
14296.533756	69.044640	0.999266	0.098262	143
14298.649947	68.850433	1.002092	0.097889	145
14300.766248	68.760078	1.000243	0.097759	147
14302.882581	68.763931	0.999400	0.097594	149
14304.998822	248.725052	-1.000702	-0.097390	151
14307.115041	248.708908	-1.002124	-0.097350	153
14309.230937	248.651123	-1.002764	-0.097226	155
14311.346275	248.637527	-1.001074	-0.097360	157
14313.461553	248.732269	-0.999803	-0.097293	159
14315.577480	248.793518	-1.001686	-0.097164	161
14317.693051	248.790558	-1.004087	-0.096949	163
14319.808276	68.831177	1.003031	0.096959	165
14321.923224	248.901413	-1.002843	-0.096570	167
